Full Name	mono_mass	site
Removal of initiator methionine from protein N-terminus	-131.040485	['Anywhere']
Loss of C-terminal K from Heavy Chain of MAb	-128.094963	['Anywhere']
Dehydroalanine (from Tyrosine)	-94.041865	['Anywhere']
Removal of initiator methionine from protein N-terminus, then acetylation of the new N-terminus	-89.02992	['Anywhere']
Enzymatic glycine removal leaving an amidated C-terminus	-58.005479	['Anywhere']
Homoserine lactone	-48.003371	['Anywhere']
Arginine oxidation to glutamic semialdehyde	-43.053433	['Anywhere']
Dehydroalanine (from Cysteine)	-33.987721	['Anywhere']
pyruvic acid from N-term cys	-33.003705	['Anywhere']
Methionine oxidation to aspartic semialdehyde	-32.008456	['Anywhere']
Proline oxidation to pyrrolidinone	-30.010565	['Anywhere']
Decarboxylation	-30.010565	['Anywhere']
Homoserine	-29.992806	['Anywhere']
Pyrrolidone from Proline	-27.994915	['Anywhere']
Formation of five membered aromatic heterocycle	-20.026215	['Anywhere']
Loss of ammonia (15N)	-18.023584	['Anywhere']
Dehydration	-18.010565	['Anywhere']
oxoalanine	-17.992806	['Anywhere']
Loss of ammonia	-17.026549	['Anywhere']
reduction	-15.994915	['Anywhere']
lactic acid from N-term Ser	-15.010899	['Anywhere']
Aspartylurea	-10.031969	['Anywhere']
carbamidomethylated Cys that undergoes beta-elimination and Michael addition of methylamine	-2.945522	['Anywhere']
2-amino-3-oxo-butanoic_acid	-2.01565	['Anywhere']
Lysine oxidation to aminoadipic semialdehyde	-1.031634	['Anywhere']
Amidation	-0.984016	['Anywhere']
Deamidation	0.984016	['Anywhere']
tryptophan oxidation to kynurenin	3.994915	['Anywhere']
In Bachi as Formylaspargine (typo?)	4.97893	['Anywhere']
Carbamidomethylated Cys that undergoes beta-elimination and Michael addition of ethylamine	11.070128	['Anywhere']
formaldehyde adduct	12	['Anywhere']
Phe->Cys substitution and carbamidomethylation	12.962234	['Anywhere']
proline oxidation to pyroglutamic acid	13.979265	['Anywhere']
Tryptophan oxidation to oxolactone	13.979265	['Anywhere']
aldehyde and ketone modifications	13.979265	['Anywhere']
Methylation	14.01565	['Anywhere']
alpha-amino adipic acid	14.96328	['Anywhere']
Deamidation followed by a methylation	14.999666	['Anywhere']
Tyrosine oxidation to 2-aminotyrosine	15.010899	['Anywhere']
thiocarboxylic acid	15.977156	['Anywhere']
Oxidation or Hydroxylation	15.994915	['Anywhere']
fluorination	17.990578	['Anywhere']
Proline oxidation to 5-hydroxy-2-aminovaleric acid	18.010565	['Anywhere']
Lys->Met substitution and sulfoxidation	18.940436	['Anywhere']
tryptophan oxidation to hydroxykynurenin	19.989829	['Anywhere']
glyoxal-derived AGE	21.98435	['Anywhere']
cyano	24.995249	['Anywhere']
ethyl amino	27.047285	['Anywhere']
Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione	27.958529	['Anywhere']
Formylation	27.994915	['Anywhere']
di-Methylation	28.0313	['Anywhere']
Ethylation	28.0313	['Anywhere']
nitrosylation	28.990164	['Anywhere']
deamidation followed by esterification with ethanol	29.015316	['Anywhere']
Dimethylation of proline residue	29.039125	['Anywhere']
quinone	29.974179	['Anywhere']
hydroxymethyl	30.010565	['Anywhere']
formaldehyde induced modifications	30.010565	['Anywhere']
Lys->Cys substitution and carbamidomethylation	31.935685	['Anywhere']
persulfide	31.972071	['Anywhere']
dihydroxy	31.989829	['Anywhere']
Leu->Met substitution and sulfoxidation	33.951335	['Anywhere']
propargylamine	37.031634	['Anywhere']
Azidophenylalanine	41.001397	['Anywhere']
amidination of lysines or N-terminal amines with methyl acetimidate	41.026549	['Anywhere']
Acetylation	42.010565	['Anywhere']
Guanidination	42.021798	['Anywhere']
amidino	42.021798	['Anywhere']
tri-Methylation	42.04695	['Anywhere']
Propyl	42.04695	['Anywhere']
Carbamylation	43.005814	['Anywhere']
Carboxyl modification with ethanolamine	43.042199	['Anywhere']
Tryptophan oxidation to hydroxy-bis-tryptophandione	43.953444	['Anywhere']
Carboxylation	43.989829	['Anywhere']
S-Ethylcystine from Serine	44.008456	['Anywhere']
Ethanolation	44.026215	['Anywhere']
Oxidation to nitro	44.985078	['Anywhere']
Beta-methylthiolation	45.987721	['Anywhere']
cysteine oxidation to cysteic acid	47.984744	['Anywhere']
MDA adduct +54	54.010565	['Anywhere']
Alkene fragment of DSSO crosslinker	54.010565	['Anywhere']
DST crosslinker cleaved by sodium periodate	55.989829	['Anywhere']
Propionate labeling reagent light form (N-term & K)	56.026215	['Anywhere']
Diethylation, analogous to Dimethylation	56.0626	['Anywhere']
Iodoacetamide derivative	57.021464	['Anywhere']
Iodoacetic acid derivative	58.005479	['Anywhere']
2,3-dihydro-2,2-dimethyl-7-benzofuranol N-methyl carbamate	58.029289	['Anywhere']
Reduced acrolein addition +58	58.041865	['Anywhere']
aminoethylcysteine	59.019355	['Anywhere']
5-hydroxy-N6,N6,N6-trimethyl	59.04969	['Anywhere']
2-OH-ethyl thio-Ser	60.003371	['Anywhere']
Iodoacetic acid derivative w/ 13C label	60.012189	['Anywhere']
MDA adduct +62	62.01565	['Anywhere']
SulfurDioxide	63.9619	['Anywhere']
Chemical modification of the iodinated sites of thyroglobulin by Suzuki reaction	66.010565	['Anywhere']
Dichlorination	67.922055	['Anywhere']
Crotonylation	68.026215	['Anywhere']
Piperidination	68.0626	['Anywhere']
N-pyruvic acid 2-iminyl	70.005479	['Anywhere']
Butyryl	70.041865	['Anywhere']
Acrylamide adduct	71.037114	['Anywhere']
Deoxyhypusine	71.073499	['Anywhere']
Cys alkylation by dimethylaminoethyl halide	71.073499	['Anywhere']
carboxyethyl	72.021129	['Anywhere']
Ethoxyformylation	72.021129	['Anywhere']
EDT	75.980527	['Anywhere']
Cysteine mercaptoethanol	75.998285	['Anywhere']
bromination	77.910511	['Anywhere']
Methylphosphonylation	77.987066	['Anywhere']
2,5-dimethypyrrole	78.04695	['Anywhere']
selenyl	79.91652	['Anywhere']
O-Sulfonation	79.956815	['Anywhere']
Phosphorylation	79.966331	['Anywhere']
methylglyoxal-derived argpyrimidine	80.026215	['Anywhere']
Arginine replacement by Nitropyrimidyl ornithine	80.985078	['Anywhere']
Bu fragment of BuUrBu crosslinker	85.052764	['Anywhere']
Labeling transglutaminase substrate on glutamine side chain	85.089149	['Anywhere']
Thiol fragment of DSSO crosslinker	85.982635	['Anywhere']
Malonylation	86.000394	['Anywhere']
Michael addition of hydroxymethylvinyl ketone to cysteine	86.036779	['Anywhere']
transamidation of glycine ethyl ester to glutamine	86.036779	['Anywhere']
2-hydroxyisobutyrylation	86.036779	['Anywhere']
Cleaved and reduced DTBP crosslinker	87.01427	['Anywhere']
glycidamide adduct	87.032028	['Anywhere']
phosphorylation to amine thiol	87.050655	['Anywhere']
hypusine	87.068414	['Anywhere']
Cleaved and reduced DSP/DTSSP crosslinker	87.998285	['Anywhere']
O-methyl amino phosphinate	92.997965	['Anywhere']
O-Methylphosphorylation	93.981981	['Anywhere']
aminotyrosine with sulfation	94.967714	['Anywhere']
Intact BS2-G crosslinker	96.021129	['Anywhere']
Reduced acrolein addition +96	96.057515	['Anywhere']
maleimide	97.016378	['Anywhere']
Acetyldeoxyhypusine	97.089149	['Anywhere']
Acetone chemical artifact	98.073165	['Anywhere']
N-isopropylcarboxamidomethyl	99.068414	['Anywhere']
Succinic anhydride labeling reagent light form (N-term & K)	100.016044	['Anywhere']
Methylmalonylation on Serine	100.016044	['Anywhere']
